"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037139600, CA","06037139600","=""06037139600""","2.04"
"06037408626, CA","06037408626","=""06037408626""","3.39"
"06037602700, CA","06037602700","=""06037602700""","1.18"
"06037574300, CA","06037574300","=""06037574300""","3.51"
"06037262704, CA","06037262704","=""06037262704""","0.00"
"06037620800, CA","06037620800","=""06037620800""","0.66"
"06037194300, CA","06037194300","=""06037194300""","1.45"
"06037461200, CA","06037461200","=""06037461200""","0.66"
"06037113401, CA","06037113401","=""06037113401""","4.87"
"06037460900, CA","06037460900","=""06037460900""","5.69"
"06037408628, CA","06037408628","=""06037408628""","3.22"
"06037137302, CA","06037137302","=""06037137302""","0.00"
"06037139402, CA","06037139402","=""06037139402""","3.65"
"06037600702, CA","06037600702","=""06037600702""","7.56"
"06037551000, CA","06037551000","=""06037551000""","1.10"
"06037920328, CA","06037920328","=""06037920328""","0.84"
"06037403000, CA","06037403000","=""06037403000""","4.49"
"06037403200, CA","06037403200","=""06037403200""","N/A"
"06037650200, CA","06037650200","=""06037650200""","4.43"
"06037291300, CA","06037291300","=""06037291300""","6.96"
"06037570800, CA","06037570800","=""06037570800""","0.98"
"06037403404, CA","06037403404","=""06037403404""","0.92"
"06037651302, CA","06037651302","=""06037651302""","2.89"
"06037137401, CA","06037137401","=""06037137401""","2.11"
"06037462900, CA","06037462900","=""06037462900""","1.03"
"06037297300, CA","06037297300","=""06037297300""","2.33"
"06037265100, CA","06037265100","=""06037265100""","5.93"
"06037480600, CA","06037480600","=""06037480600""","1.20"
"06037311700, CA","06037311700","=""06037311700""","2.00"
"06037554511, CA","06037554511","=""06037554511""","0.00"
"06037134422, CA","06037134422","=""06037134422""","1.64"
"06037401201, CA","06037401201","=""06037401201""","2.68"
"06037276000, CA","06037276000","=""06037276000""","2.78"
"06037980001, CA","06037980001","=""06037980001""","N/A"
"06037701304, CA","06037701304","=""06037701304""","2.42"
"06037800325, CA","06037800325","=""06037800325""","2.85"
"06037403322, CA","06037403322","=""06037403322""","0.57"
"06037402102, CA","06037402102","=""06037402102""","4.85"
"06037277000, CA","06037277000","=""06037277000""","6.53"
"06037403401, CA","06037403401","=""06037403401""","2.15"
"06037530005, CA","06037530005","=""06037530005""","5.07"
"06037402600, CA","06037402600","=""06037402600""","7.94"
"06037269000, CA","06037269000","=""06037269000""","0.00"
"06037430803, CA","06037430803","=""06037430803""","3.52"
"06037920109, CA","06037920109","=""06037920109""","0.67"
"06037185100, CA","06037185100","=""06037185100""","6.72"
"06037113301, CA","06037113301","=""06037113301""","0.00"
"06037301601, CA","06037301601","=""06037301601""","8.51"
"06037113101, CA","06037113101","=""06037113101""","1.89"
"06037544001, CA","06037544001","=""06037544001""","5.51"
"06037920029, CA","06037920029","=""06037920029""","1.24"
"06037109601, CA","06037109601","=""06037109601""","2.89"
"06037651304, CA","06037651304","=""06037651304""","2.11"
"06037403319, CA","06037403319","=""06037403319""","0.50"
