"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037401201, CA","06037401201","=""06037401201""","7.25"
"06037276000, CA","06037276000","=""06037276000""","8.93"
"06037980001, CA","06037980001","=""06037980001""","N/A"
"06037701304, CA","06037701304","=""06037701304""","6.47"
"06037800325, CA","06037800325","=""06037800325""","7.23"
"06037403322, CA","06037403322","=""06037403322""","3.36"
"06037402102, CA","06037402102","=""06037402102""","14.31"
"06037277000, CA","06037277000","=""06037277000""","0.68"
"06037403401, CA","06037403401","=""06037403401""","7.95"
"06037530005, CA","06037530005","=""06037530005""","8.27"
"06037402600, CA","06037402600","=""06037402600""","13.45"
"06037269000, CA","06037269000","=""06037269000""","5.72"
"06037430803, CA","06037430803","=""06037430803""","5.61"
"06037920109, CA","06037920109","=""06037920109""","5.72"
"06037185100, CA","06037185100","=""06037185100""","12.05"
"06037113301, CA","06037113301","=""06037113301""","4.58"
"06037301601, CA","06037301601","=""06037301601""","8.93"
"06037113101, CA","06037113101","=""06037113101""","6.56"
"06037544001, CA","06037544001","=""06037544001""","10.23"
"06037920029, CA","06037920029","=""06037920029""","4.10"
"06037109601, CA","06037109601","=""06037109601""","5.70"
"06037651304, CA","06037651304","=""06037651304""","7.31"
"06037403319, CA","06037403319","=""06037403319""","4.14"
"06037500403, CA","06037500403","=""06037500403""","4.03"
"06037432000, CA","06037432000","=""06037432000""","1.21"
"06037276601, CA","06037276601","=""06037276601""","3.57"
"06037701902, CA","06037701902","=""06037701902""","4.22"
"06037550700, CA","06037550700","=""06037550700""","6.79"
"06037551800, CA","06037551800","=""06037551800""","8.04"
"06037106520, CA","06037106520","=""06037106520""","15.42"
"06037274202, CA","06037274202","=""06037274202""","5.65"
"06037920329, CA","06037920329","=""06037920329""","6.49"
"06037461700, CA","06037461700","=""06037461700""","7.74"
"06037113421, CA","06037113421","=""06037113421""","9.97"
"06037300600, CA","06037300600","=""06037300600""","7.80"
"06037269300, CA","06037269300","=""06037269300""","4.10"
"06037536200, CA","06037536200","=""06037536200""","21.90"
"06037187102, CA","06037187102","=""06037187102""","14.72"
"06037131600, CA","06037131600","=""06037131600""","15.52"
"06037481500, CA","06037481500","=""06037481500""","11.17"
"06037108102, CA","06037108102","=""06037108102""","4.27"
"06037127400, CA","06037127400","=""06037127400""","9.28"
"06037502801, CA","06037502801","=""06037502801""","5.79"
"06037543801, CA","06037543801","=""06037543801""","12.06"
"06037576700, CA","06037576700","=""06037576700""","8.93"
"06037554522, CA","06037554522","=""06037554522""","7.75"
"06037310900, CA","06037310900","=""06037310900""","6.39"
"06037480702, CA","06037480702","=""06037480702""","9.02"
